PA21;pa1.controller;GameBoardController;1;1;1;1;4498;2;4560;1;241;16556;3771;9307
PA21;pa1.controller;GameController;1;0;0;1;1934;3;3807;0;0;10336;1870;5746
PA21;pa1.model;ExtraLife;1;1;1;1;1118;1;130;1;258;1789;315;1510
PA21;pa1.model;Position;1;1;1;1;2612;1;172;1;278;2390;1116;3067
PA21;pa1.model;StopCell;1;1;1;1;1877;1;133;1;245;3401;693;2261
PA21;pa1.model;Gem;1;1;1;1;1143;1;139;1;256;1781;308;1542
PA21;pa1.model;EntityCell;1;1;1;1;2648;1;159;1;283;2665;1111;3095
PA21;pa1.model;GameState;1;1;1;1;4427;1;163;1;247;5796;2017;4842
PA21;pa1.model;Entity;1;1;1;1;1506;1;152;2;2643;95347;974;4307
PA21;pa1.model;Mine;1;1;1;1;1265;1;144;1;271;1791;298;1685
PA21;pa1.model;MoveStack;1;1;1;1;1922;1;152;1;267;2016;640;2344
PA21;pa1.model;Player;1;1;1;1;1201;1;145;2;1664;4807;607;3015
PA21;pa1.model;MoveResult;1;1;1;1;2831;1;179;1;259;3831;1324;3275
PA21;pa1.model;GameBoard;1;1;1;1;6981;1;216;1;255;5112;3495;7457
