PA19;game;DelayBar;1;1;1;1;1;1
PA19;game;Game;1;0;0;1;3;3
PA19;game;PipeQueue;1;1;1;1;3;2
PA19;game;CellStack;1;1;1;1;1;1
PA19;game.map;Map;1;0;0;1;3;3
PA19;game.map.cells;FillableCell;1;1;1;1;1;1
PA19;game.map.cells;Cell;1;0;0;1;3;0
PA19;game.map.cells;TerminationCell;1;0;0;1;3;3
PA19;game.map.cells;Wall;1;0;0;1;3;3
PA19;game.pipes;Pipe;1;0;0;1;3;0
PA20;assignment;Main;1;1;0;1;1;3
PA20;assignment;JesonMor;1;1;0;1;1;3
PA20;assignment.piece;Archer;1;0;0;1;3;0
PA20;assignment.piece;OccupiedRule;1;1;1;1;2;1
PA20;assignment.piece;FirstNMovesProtectionRule;1;1;1;1;2;1
PA20;assignment.piece;VacantRule;1;1;1;1;1;1
PA20;assignment.piece;KnightBlockRule;1;1;1;1;1;1
PA20;assignment.piece;ArcherMoveRule;1;1;0;1;1;3
PA20;assignment.piece;OutOfBoundaryRule;1;1;1;1;1;1
PA20;assignment.piece;NilMoveRule;1;1;1;1;1;1
PA20;assignment.piece;Knight;1;0;0;1;3;0
PA20;assignment.piece;KnightMoveRule;1;1;1;1;1;1
PA20;assignment.player;ConsolePlayer;1;1;1;1;1;1
PA20;assignment.player;RandomPlayer;1;1;1;1;1;1
PA21;pa1.controller;GameBoardController;1;0;0;1;3;0
PA21;pa1.controller;GameController;1;0;0;1;3;0
PA21;pa1.model;GameState;1;1;1;1;3;2
PA21;pa1.model;ExtraLife;1;0;0;1;3;0
PA21;pa1.model;Mine;1;0;0;1;3;0
PA21;pa1.model;Gem;1;0;0;1;3;0
PA21;pa1.model;MoveStack;1;1;1;1;1;1
PA21;pa1.model;Entity;1;1;1;1;1;2
PA21;pa1.model;EntityCell;1;1;1;1;3;2
PA21;pa1.model;MoveResult;1;0;0;1;3;0
PA21;pa1.model;Player;1;0;0;1;3;0
PA21;pa1.model;Position;1;1;1;1;1;1
PA21;pa1.model;StopCell;1;0;0;1;3;3
PA21;pa1.model;GameBoard;1;1;1;1;3;2
PA22;assignment.game;GameMap;1;1;0;1;1;3
PA22;assignment.game;AbstractSokobanGame;1;1;1;1;1;1
PA22;assignment.game;GameState;1;0;0;1;3;3
PA22;assignment.tui;TerminalSokobanGame;1;0;0;1;3;0
PA22;assignment.tui;TerminalInputEngine;1;0;0;1;3;0
PA22;assignment.tui;TerminalRenderingEngine;1;1;1;1;1;1
